"nombre_dispositivo","decibelios","fecha_medicion","type","serialNumber","status","address","deviceTypeId","longitude","latitude","geometry.type","CodigoSeccion","Clave_Tiempo","Ocupacion","Intensidad","Velocidad","FechaHora"
"BI-RUI-C025",47.1,2026-02-06 22:07:38.003,"Feature","172577704980968",1,"Luis Brinas con Pozas 5",1,-2.947089,43.263329,"Point","276",2026-02-06 22:15:00,1,358,9,2026-02-06 22:20:00
"BI-RUI-C023",65.2,2026-02-06 22:08:16.743,"Feature","18439918662120",1,"Botica Vieja  (TOYOTA)",1,-2.946357,43.268664,"Point","355",2026-02-06 22:15:00,0,163,15,2026-02-06 22:20:00
"BI-RUI-BR6",52.104,2026-02-06 22:08:18.307,"Feature","051999999992006",1,"ROTONDA GARAIZAR",1,-2.9033,43.260261,"Point","356",2026-02-06 22:15:00,1,231,2,2026-02-06 22:20:00
"BI-RUI-005",66.691,2026-02-06 22:08:32.7,"Feature","051999999991005",1,"MARIA MUÑOZ FRENTE 2 ",1,-2.921992,43.257555,"Point","337",2026-02-06 22:15:00,5,372,17,2026-02-06 22:20:00
"BI-RUI-P014",64.2,2026-02-06 22:08:56.623,"Feature","110891067380044",1,"MONTEVIDEO (FRENTE HOSPITAL)(CÁMARA TRÁFICO)",1,-2.954683,43.26077,"Point","392",2026-02-06 22:15:00,1,422,15,2026-02-06 22:20:00
"BI-RUI-C008",63.9,2026-02-06 22:10:57.403,"Feature","051999999993008",2,"RIPA 5",1,-2.924745,43.261605,"Point","337",2026-02-06 22:15:00,5,372,17,2026-02-06 22:20:00
"BI-RUI-P001",78,2026-02-06 22:11:00.043,"Feature","53696331516452",1,"PLAZA NUEVA 15",1,-2.922658,43.259361,"Point","337",2026-02-06 22:15:00,5,372,17,2026-02-06 22:20:00
"BI-RUI-C023",66.6,2026-02-06 22:11:33.347,"Feature","18439918662120",1,"Botica Vieja  (TOYOTA)",1,-2.946357,43.268664,"Point","355",2026-02-06 22:15:00,0,163,15,2026-02-06 22:20:00
"BI-RUI-BR15",71,2026-02-06 22:11:44.567,"Feature","101692098863992",1,"ALAMEDA URQUIJO CON DOCTOR AREILZA",1,-2.942425,43.261366,"Point","345",2026-02-06 22:15:00,1,112,2,2026-02-06 22:20:00
"BI-RUI-C020",71,2026-02-06 22:12:27.633,"Feature","233588181730096",2,"Ledesma 10 bis",1,-2.928391,43.262172,"Point","248",2026-02-06 22:15:00,0,12,0,2026-02-06 22:20:00
"BI-RUI-C025",48.3,2026-02-06 22:13:05.577,"Feature","172577704980968",1,"Luis Brinas con Pozas 5",1,-2.947089,43.263329,"Point","276",2026-02-06 22:15:00,1,358,9,2026-02-06 22:20:00
"BI-RUI-C005",60.3,2026-02-06 22:13:15.123,"Feature","259962996275344",1,"SOMERA 8",1,-2.922789,43.256406,"Point","337",2026-02-06 22:15:00,5,372,17,2026-02-06 22:20:00
"BI-RUI-BR11",63.161,2026-02-06 22:13:24.97,"Feature","051999999992011",1,"ZABALBIDE CON SANTA CLARA",1,-2.912525,43.255666,"Point","363",2026-02-06 22:15:00,0,0,0,2026-02-06 22:20:00
"BI-RUI-P007",65.9,2026-02-06 22:13:39.97,"Feature","264832628820516",1,"LEHENDAKARI AGUIRRE  20-26",1,-2.947327,43.272064,"Point","283",2026-02-06 22:15:00,0,0,0,2026-02-06 22:20:00
"BI-RUI-015",75.611,2026-02-06 22:14:02.863,"Feature","051999999991015",1,"DE LA TORRE 5",1,-2.924639,43.257559,"Point","337",2026-02-06 22:15:00,5,372,17,2026-02-06 22:20:00
"BI-RUI-C023",67.9,2026-02-06 22:14:50.01,"Feature","18439918662120",1,"Botica Vieja  (TOYOTA)",1,-2.946357,43.268664,"Point","355",2026-02-06 22:15:00,0,163,15,2026-02-06 22:20:00
"BI-RUI-019",67.259,2026-02-06 22:15:32.813,"Feature","051999999991019",1,"ZUNZUNEGUI JUNTO BOCA METRO",1,-2.948616,43.261587,"Point","391",2026-02-06 22:15:00,0,0,0,2026-02-06 22:20:00
"BI-RUI-017",79.617,2026-02-06 22:15:37.407,"Feature","051999999991017",1,"SOMERA FRENTE 43 ALDAXKA",1,-2.9224,43.257373,"Point","337",2026-02-06 22:15:00,5,372,17,2026-02-06 22:20:00
"BI-RUI-P002",67.4,2026-02-06 22:16:07.16,"Feature","13697301088804",2,"PLAZA NUEVA (BALCÓN ASOCIACIÓN COMERCIANTES)",1,-2.922321,43.259093,"Point","337",2026-02-06 22:15:00,5,372,17,2026-02-06 22:20:00
"BI-RUI-006",74.957,2026-02-06 22:16:08.88,"Feature","051999999991006",1,"BARRENKALE   7 ",1,-2.925136,43.256697,"Point","335",2026-02-06 22:15:00,0,0,0,2026-02-06 22:20:00
"BI-RUI-001",61.931,2026-02-06 22:16:16.067,"Feature","051999999991001",1,"RODRIGUEZ ARIAS   71 BIS",1,-2.944465,43.263875,"Point","352",2026-02-06 22:15:00,0,0,0,2026-02-06 22:20:00
"BI-RUI-P009",68.8,2026-02-06 22:16:48.477,"Feature","180634089949732",1,"ALAMEDA REKALDE 27",1,-2.934442,43.264067,"Point","312",2026-02-06 22:15:00,1,2755,49,2026-02-06 22:20:00
"BI-RUI-004",74.153,2026-02-06 22:16:48.477,"Feature","051999999991004",1,"PLAZA UNAMUNO FAROLA 13",1,-2.921691,43.258396,"Point","337",2026-02-06 22:15:00,5,372,17,2026-02-06 22:20:00
"BI-RUI-P011",66,2026-02-06 22:16:48.477,"Feature","193547729768780",1,"CAMPO VOLANTÍN (CON MUGICA)(CÁMARA TRÁFICO)",1,-2.927817,43.267275,"Point","319",2026-02-06 22:15:00,11,285,6,2026-02-06 22:20:00
"BI-RUI-004",74.153,2026-02-06 22:16:53.993,"Feature","051999999991004",1,"PLAZA UNAMUNO FAROLA 13",1,-2.921691,43.258396,"Point","337",2026-02-06 22:15:00,5,372,17,2026-02-06 22:20:00
"BI-RUI-C024",62,2026-02-06 22:17:00.95,"Feature","9381832634856",2,"Avenida de las Universidades 8",1,-2.934714,43.270142,"Point","342",2026-02-06 22:15:00,0,2,0,2026-02-06 22:20:00
"BI-RUI-P003",78.3,2026-02-06 22:17:21.09,"Feature","145922164263460",1,"PLAZA NUEVA 5",1,-2.922734,43.258821,"Point","337",2026-02-06 22:15:00,5,372,17,2026-02-06 22:20:00
"BI-RUI-C003",59.9,2026-02-06 22:17:21.81,"Feature","051999999993003",1,"MUELLE RIPA (RIA)",1,-2.924641,43.261251,"Point","337",2026-02-06 22:15:00,5,372,17,2026-02-06 22:20:00
"BI-RUI-C016",71,2026-02-06 22:17:36.36,"Feature","110281893366668",1,"Diputación 4",1,-2.93203,43.263171,"Point","312",2026-02-06 22:15:00,1,2755,49,2026-02-06 22:20:00
"BI-RUI-007",71.868,2026-02-06 22:17:42.673,"Feature","051999999991007",1,"AVENIDA MADARIAGA 3-5",1,-2.944399,43.271091,"Point","280",2026-02-06 22:15:00,0,0,0,2026-02-06 22:20:00
"BI-RUI-C018",60.6,2026-02-06 22:17:55.143,"Feature","171837364652940",1,"Ledesma 6",1,-2.927146,43.261879,"Point","337",2026-02-06 22:15:00,5,372,17,2026-02-06 22:20:00
"BI-RUI-C023",67.8,2026-02-06 22:18:06.91,"Feature","18439918662120",1,"Botica Vieja  (TOYOTA)",1,-2.946357,43.268664,"Point","355",2026-02-06 22:15:00,0,163,15,2026-02-06 22:20:00
"BI-RUI-C002",66.2,2026-02-06 22:18:21.757,"Feature","051999999993002",1,"URIBITARTE 6",1,-2.927694,43.264163,"Point","341",2026-02-06 22:15:00,0,162,15,2026-02-06 22:20:00
"BI-RUI-C025",50.1,2026-02-06 22:18:33.693,"Feature","172577704980968",1,"Luis Brinas con Pozas 5",1,-2.947089,43.263329,"Point","276",2026-02-06 22:15:00,1,358,9,2026-02-06 22:20:00
"BI-RUI-C015",69.2,2026-02-06 22:18:39.21,"Feature","62624880565532",1,"Juan de Ajuriaguerra 14",1,-2.93266,43.26567,"Point","312",2026-02-06 22:15:00,1,2755,49,2026-02-06 22:20:00
"BI-RUI-C013",61.6,2026-02-06 22:18:43.04,"Feature","93385137277376",1,"Colón de Larreategui 5",1,-2.92688,43.262285,"Point","337",2026-02-06 22:15:00,5,372,17,2026-02-06 22:20:00
"BI-RUI-025",42,2026-02-06 22:18:45.46,"Feature","051999999991025",2,"PRINCIPE 1",1,-2.924567,43.261992,"Point","337",2026-02-06 22:15:00,5,372,17,2026-02-06 22:20:00
"BI-RUI-C034",70.6,2026-02-06 22:18:51.07,"Feature","22635509719416",1,"Aretxabaleta 6",1,-2.941152,43.260501,"Point","344",2026-02-06 22:15:00,4,652,18,2026-02-06 22:20:00
"BI-RUI-C005",76.5,2026-02-06 22:19:15.45,"Feature","259962996275344",1,"SOMERA 8",1,-2.922789,43.256406,"Point","337",2026-02-06 22:15:00,5,372,17,2026-02-06 22:20:00
"BI-RUI-009",74.449,2026-02-06 22:20:03.767,"Feature","051999999991009",1,"SANTA MARIA 18",1,-2.925421,43.257746,"Point","335",2026-02-06 22:15:00,0,0,0,2026-02-06 22:20:00
"BI-RUI-C014",59.2,2026-02-06 22:20:14.033,"Feature","92672527453068",1,"Iparraguirre 16",1,-2.935306,43.266038,"Point","338",2026-02-06 22:15:00,0,91,13,2026-02-06 22:20:00
"BI-RUI-008",69.889,2026-02-06 22:20:16.427,"Feature","051999999991008",1,"ITURRIBIDE 30",1,-2.927927,43.262351,"Point","248",2026-02-06 22:15:00,0,12,0,2026-02-06 22:20:00
"BI-RUI-010",71.777,2026-02-06 22:20:45.49,"Feature","051999999991010",1,"BARRENKALE BARRENA 7",1,-2.925336,43.257225,"Point","335",2026-02-06 22:15:00,0,0,0,2026-02-06 22:20:00
"BI-RUI-011",72.935,2026-02-06 22:20:58.837,"Feature","051999999991011",1,"JARDINES 6",1,-2.925043,43.258266,"Point","337",2026-02-06 22:15:00,5,372,17,2026-02-06 22:20:00
"BI-RUI-P013",67.4,2026-02-06 22:21:00.71,"Feature","263912178979148",1,"GORDÓNIZ (CON GOYA)(CÁMARA TRÁFICO)",1,-2.946182,43.252719,"Point","323",2026-02-06 22:15:00,0,130,6,2026-02-06 22:20:00
"BI-RUI-C023",67.7,2026-02-06 22:21:24.23,"Feature","18439918662120",1,"Botica Vieja  (TOYOTA)",1,-2.946357,43.268664,"Point","355",2026-02-06 22:15:00,0,163,15,2026-02-06 22:20:00
"BI-RUI-005",64.789,2026-02-06 22:53:24.73,"Feature","051999999991005",1,"MARIA MUÑOZ FRENTE 2 ",1,-2.921992,43.257555,"Point","337",2026-02-06 23:00:00,2,179,17,2026-02-06 23:05:00
"BI-RUI-C011",49.4,2026-02-06 22:53:27.67,"Feature","4720187165580",1,"Jardines de Albia (frente a fuente)",1,-2.928189,43.262887,"Point","341",2026-02-06 23:00:00,0,207,12,2026-02-06 23:05:00
"BI-RUI-P014",60.5,2026-02-06 22:53:58.127,"Feature","110891067380044",1,"MONTEVIDEO (FRENTE HOSPITAL)(CÁMARA TRÁFICO)",1,-2.954683,43.26077,"Point","392",2026-02-06 23:00:00,0,345,41,2026-02-06 23:05:00
"BI-RUI-C023",60.1,2026-02-06 22:54:03.47,"Feature","18439918662120",1,"Botica Vieja  (TOYOTA)",1,-2.946357,43.268664,"Point","355",2026-02-06 23:00:00,0,125,0,2026-02-06 23:05:00
"BI-RUI-P001",79.6,2026-02-06 22:56:00.89,"Feature","53696331516452",1,"PLAZA NUEVA 15",1,-2.922658,43.259361,"Point","337",2026-02-06 23:00:00,2,179,17,2026-02-06 23:05:00
"BI-RUI-C025",52.9,2026-02-06 22:56:03.267,"Feature","172577704980968",1,"Luis Brinas con Pozas 5",1,-2.947089,43.263329,"Point","276",2026-02-06 23:00:00,2,285,8,2026-02-06 23:05:00
"BI-RUI-C008",61.7,2026-02-06 22:56:56.617,"Feature","051999999993008",2,"RIPA 5",1,-2.924745,43.261605,"Point","337",2026-02-06 23:00:00,2,179,17,2026-02-06 23:05:00
"BI-RUI-C023",64.9,2026-02-06 22:57:26.137,"Feature","18439918662120",1,"Botica Vieja  (TOYOTA)",1,-2.946357,43.268664,"Point","355",2026-02-06 23:00:00,0,125,0,2026-02-06 23:05:00
"BI-RUI-BR15",68.8,2026-02-06 22:57:43.48,"Feature","101692098863992",1,"ALAMEDA URQUIJO CON DOCTOR AREILZA",1,-2.942425,43.261366,"Point","345",2026-02-06 23:00:00,0,86,6,2026-02-06 23:05:00
"BI-RUI-P012",70.2,2026-02-06 22:58:01.92,"Feature","4474679464268",1,"SANTUTXU (CON KARMELO 1)(CÁMARA TRÁFICO)",1,-2.915837,43.253675,"Point","363",2026-02-06 23:00:00,0,0,0,2026-02-06 23:05:00
"BI-RUI-BR11",61.462,2026-02-06 22:58:27.033,"Feature","051999999992011",1,"ZABALBIDE CON SANTA CLARA",1,-2.912525,43.255666,"Point","363",2026-02-06 23:00:00,0,0,0,2026-02-06 23:05:00
"BI-RUI-C005",59.4,2026-02-06 22:58:56.74,"Feature","259962996275344",1,"SOMERA 8",1,-2.922789,43.256406,"Point","337",2026-02-06 23:00:00,2,179,17,2026-02-06 23:05:00
"BI-RUI-C020",72,2026-02-06 22:58:59.553,"Feature","233588181730096",2,"Ledesma 10 bis",1,-2.928391,43.262172,"Point","248",2026-02-06 23:00:00,0,24,0,2026-02-06 23:05:00
"BI-RUI-015",75.145,2026-02-06 22:59:08.82,"Feature","051999999991015",1,"DE LA TORRE 5",1,-2.924639,43.257559,"Point","337",2026-02-06 23:00:00,2,179,17,2026-02-06 23:05:00
"BI-RUI-004",72.265,2026-02-06 23:00:50.847,"Feature","051999999991004",1,"PLAZA UNAMUNO FAROLA 13",1,-2.921691,43.258396,"Point","337",2026-02-06 23:00:00,2,179,17,2026-02-06 23:05:00
"BI-RUI-017",76.029,2026-02-06 23:00:50.847,"Feature","051999999991017",1,"SOMERA FRENTE 43 ALDAXKA",1,-2.9224,43.257373,"Point","337",2026-02-06 23:00:00,2,179,17,2026-02-06 23:05:00
"BI-RUI-C023",67.1,2026-02-06 23:00:50.847,"Feature","18439918662120",1,"Botica Vieja  (TOYOTA)",1,-2.946357,43.268664,"Point","355",2026-02-06 23:00:00,0,125,0,2026-02-06 23:05:00
"BI-RUI-006",76.884,2026-02-06 23:01:07.537,"Feature","051999999991006",1,"BARRENKALE   7 ",1,-2.925136,43.256697,"Point","335",2026-02-06 23:00:00,0,0,0,2026-02-06 23:05:00
"BI-RUI-P002",50.5,2026-02-06 23:01:08.177,"Feature","13697301088804",2,"PLAZA NUEVA (BALCÓN ASOCIACIÓN COMERCIANTES)",1,-2.922321,43.259093,"Point","337",2026-02-06 23:00:00,2,179,17,2026-02-06 23:05:00
"BI-RUI-001",63.745,2026-02-06 23:01:24.727,"Feature","051999999991001",1,"RODRIGUEZ ARIAS   71 BIS",1,-2.944465,43.263875,"Point","352",2026-02-06 23:00:00,0,0,0,2026-02-06 23:05:00
"BI-RUI-P011",67.4,2026-02-06 23:01:25.697,"Feature","193547729768780",1,"CAMPO VOLANTÍN (CON MUGICA)(CÁMARA TRÁFICO)",1,-2.927817,43.267275,"Point","319",2026-02-06 23:00:00,14,332,2,2026-02-06 23:05:00
"BI-RUI-C025",48.5,2026-02-06 23:01:29.633,"Feature","172577704980968",1,"Luis Brinas con Pozas 5",1,-2.947089,43.263329,"Point","276",2026-02-06 23:00:00,2,285,8,2026-02-06 23:05:00
"BI-RUI-P003",77,2026-02-06 23:02:22.61,"Feature","145922164263460",1,"PLAZA NUEVA 5",1,-2.922734,43.258821,"Point","337",2026-02-06 23:00:00,2,179,17,2026-02-06 23:05:00
"BI-RUI-C024",60.6,2026-02-06 23:02:51.613,"Feature","9381832634856",2,"Avenida de las Universidades 8",1,-2.934714,43.270142,"Point","342",2026-02-06 23:00:00,0,32,0,2026-02-06 23:05:00
"BI-RUI-007",66.368,2026-02-06 23:02:53.347,"Feature","051999999991007",1,"AVENIDA MADARIAGA 3-5",1,-2.944399,43.271091,"Point","280",2026-02-06 23:00:00,0,0,0,2026-02-06 23:05:00
"BI-RUI-C016",70,2026-02-06 23:03:17.303,"Feature","110281893366668",1,"Diputación 4",1,-2.93203,43.263171,"Point","312",2026-02-06 23:00:00,0,1787,49,2026-02-06 23:05:00
"BI-RUI-C003",53.2,2026-02-06 23:03:17.68,"Feature","051999999993003",1,"MUELLE RIPA (RIA)",1,-2.924641,43.261251,"Point","337",2026-02-06 23:00:00,2,179,17,2026-02-06 23:05:00
"BI-RUI-C018",61.5,2026-02-06 23:03:46.057,"Feature","171837364652940",1,"Ledesma 6",1,-2.927146,43.261879,"Point","337",2026-02-06 23:00:00,2,179,17,2026-02-06 23:05:00
"BI-RUI-C002",69,2026-02-06 23:04:02.51,"Feature","051999999993002",1,"URIBITARTE 6",1,-2.927694,43.264163,"Point","341",2026-02-06 23:00:00,0,207,12,2026-02-06 23:05:00
"BI-RUI-025",42,2026-02-06 23:04:27.03,"Feature","051999999991025",2,"PRINCIPE 1",1,-2.924567,43.261992,"Point","337",2026-02-06 23:00:00,2,179,17,2026-02-06 23:05:00
"BI-RUI-C013",61.4,2026-02-06 23:04:35.547,"Feature","93385137277376",1,"Colón de Larreategui 5",1,-2.92688,43.262285,"Point","337",2026-02-06 23:00:00,2,179,17,2026-02-06 23:05:00
"BI-RUI-C015",67.3,2026-02-06 23:04:35.97,"Feature","62624880565532",1,"Juan de Ajuriaguerra 14",1,-2.93266,43.26567,"Point","312",2026-02-06 23:00:00,0,1787,49,2026-02-06 23:05:00
"BI-RUI-C034",67.8,2026-02-06 23:04:43.033,"Feature","22635509719416",1,"Aretxabaleta 6",1,-2.941152,43.260501,"Point","344",2026-02-06 23:00:00,4,623,14,2026-02-06 23:05:00
"BI-RUI-C005",76,2026-02-06 23:04:52.173,"Feature","259962996275344",1,"SOMERA 8",1,-2.922789,43.256406,"Point","337",2026-02-06 23:00:00,2,179,17,2026-02-06 23:05:00
"BI-RUI-009",72.35,2026-02-06 23:05:01.283,"Feature","051999999991009",1,"SANTA MARIA 18",1,-2.925421,43.257746,"Point","335",2026-02-06 23:00:00,0,0,0,2026-02-06 23:05:00
"BI-RUI-C023",65.6,2026-02-06 23:05:15.583,"Feature","18439918662120",1,"Botica Vieja  (TOYOTA)",1,-2.946357,43.268664,"Point","355",2026-02-06 23:00:00,0,125,0,2026-02-06 23:05:00
"BI-RUI-008",68.099,2026-02-06 23:05:20.63,"Feature","051999999991008",1,"ITURRIBIDE 30",1,-2.927927,43.262351,"Point","248",2026-02-06 23:00:00,0,24,0,2026-02-06 23:05:00
"BI-RUI-P005",64.2,2026-02-06 23:05:41.43,"Feature","215537962324300",1,"AUTONOMÍA 33 (ESQUINA GORDÓNIZ)(CÁMARA TRÁFICO)",1,-2.941332,43.257536,"Point","322",2026-02-06 23:00:00,0,134,9,2026-02-06 23:05:00
"BI-RUI-010",72.247,2026-02-06 23:05:42.773,"Feature","051999999991010",1,"BARRENKALE BARRENA 7",1,-2.925336,43.257225,"Point","335",2026-02-06 23:00:00,0,0,0,2026-02-06 23:05:00
"BI-RUI-P004",72.8,2026-02-06 23:06:02.15,"Feature","211957269662244",1,"PLAZA NUEVA 2",1,-2.923018,43.259105,"Point","337",2026-02-06 23:00:00,2,179,17,2026-02-06 23:05:00
"BI-RUI-011",69.735,2026-02-06 23:06:08.683,"Feature","051999999991011",1,"JARDINES 6",1,-2.925043,43.258266,"Point","337",2026-02-06 23:00:00,2,179,17,2026-02-06 23:05:00
"BI-RUI-C014",56.1,2026-02-06 23:06:23.793,"Feature","92672527453068",1,"Iparraguirre 16",1,-2.935306,43.266038,"Point","338",2026-02-06 23:00:00,1,169,18,2026-02-06 23:05:00
"BI-RUI-C025",52.9,2026-02-06 23:06:56.893,"Feature","172577704980968",1,"Luis Brinas con Pozas 5",1,-2.947089,43.263329,"Point","276",2026-02-06 23:00:00,2,285,8,2026-02-06 23:05:00
"BI-RUI-C025",50.1,2026-02-06 23:23:21.2,"Feature","172577704980968",1,"Luis Brinas con Pozas 5",1,-2.947089,43.263329,"Point","276",2026-02-06 23:30:00,3,196,4,2026-02-06 23:25:00
"BI-RUI-005",64.516,2026-02-06 23:23:31.797,"Feature","051999999991005",1,"MARIA MUÑOZ FRENTE 2 ",1,-2.921992,43.257555,"Point","337",2026-02-06 23:30:00,2,204,12,2026-02-06 23:25:00
"BI-RUI-P014",61.3,2026-02-06 23:23:58.407,"Feature","110891067380044",1,"MONTEVIDEO (FRENTE HOSPITAL)(CÁMARA TRÁFICO)",1,-2.954683,43.26077,"Point","392",2026-02-06 23:30:00,1,439,27,2026-02-06 23:25:00
"BI-RUI-C011",54,2026-02-06 23:24:13.113,"Feature","4720187165580",1,"Jardines de Albia (frente a fuente)",1,-2.928189,43.262887,"Point","341",2026-02-06 23:30:00,15,123,5,2026-02-06 23:25:00
"BI-RUI-C023",64.1,2026-02-06 23:25:05.04,"Feature","18439918662120",1,"Botica Vieja  (TOYOTA)",1,-2.946357,43.268664,"Point","355",2026-02-06 23:30:00,0,193,19,2026-02-06 23:25:00
"BI-RUI-P001",75.7,2026-02-06 23:26:01.593,"Feature","53696331516452",1,"PLAZA NUEVA 15",1,-2.922658,43.259361,"Point","337",2026-02-06 23:30:00,2,204,12,2026-02-06 23:25:00
"BI-RUI-C008",59.7,2026-02-06 23:27:36.12,"Feature","051999999993008",2,"RIPA 5",1,-2.924745,43.261605,"Point","337",2026-02-06 23:30:00,2,204,12,2026-02-06 23:25:00
"BI-RUI-P012",68.6,2026-02-06 23:28:02.687,"Feature","4474679464268",1,"SANTUTXU (CON KARMELO 1)(CÁMARA TRÁFICO)",1,-2.915837,43.253675,"Point","363",2026-02-06 23:30:00,0,0,0,2026-02-06 23:25:00
"BI-RUI-BR11",59.409,2026-02-06 23:28:15,"Feature","051999999992011",1,"ZABALBIDE CON SANTA CLARA",1,-2.912525,43.255666,"Point","363",2026-02-06 23:30:00,0,0,0,2026-02-06 23:25:00
"BI-RUI-C023",63.6,2026-02-06 23:28:17.737,"Feature","18439918662120",1,"Botica Vieja  (TOYOTA)",1,-2.946357,43.268664,"Point","355",2026-02-06 23:30:00,0,193,19,2026-02-06 23:25:00
"BI-RUI-BR15",66.4,2026-02-06 23:28:23.707,"Feature","101692098863992",1,"ALAMEDA URQUIJO CON DOCTOR AREILZA",1,-2.942425,43.261366,"Point","345",2026-02-06 23:30:00,0,46,0,2026-02-06 23:25:00
"BI-RUI-C025",47.9,2026-02-06 23:28:39.193,"Feature","172577704980968",1,"Luis Brinas con Pozas 5",1,-2.947089,43.263329,"Point","276",2026-02-06 23:30:00,3,196,4,2026-02-06 23:25:00
"BI-RUI-P007",63.4,2026-02-06 23:28:42.02,"Feature","264832628820516",1,"LEHENDAKARI AGUIRRE  20-26",1,-2.947327,43.272064,"Point","283",2026-02-06 23:30:00,0,0,0,2026-02-06 23:25:00
"BI-RUI-015",75.421,2026-02-06 23:29:07.76,"Feature","051999999991015",1,"DE LA TORRE 5",1,-2.924639,43.257559,"Point","337",2026-02-06 23:30:00,2,204,12,2026-02-06 23:25:00
"BI-RUI-C005",57.6,2026-02-06 23:29:20.48,"Feature","259962996275344",1,"SOMERA 8",1,-2.922789,43.256406,"Point","337",2026-02-06 23:30:00,2,204,12,2026-02-06 23:25:00
"BI-RUI-C020",72.5,2026-02-06 23:30:03.407,"Feature","233588181730096",2,"Ledesma 10 bis",1,-2.928391,43.262172,"Point","248",2026-02-06 23:30:00,0,12,0,2026-02-06 23:25:00
"BI-RUI-004",72.558,2026-02-06 23:30:37.033,"Feature","051999999991004",1,"PLAZA UNAMUNO FAROLA 13",1,-2.921691,43.258396,"Point","337",2026-02-06 23:30:00,2,204,12,2026-02-06 23:25:00
"BI-RUI-017",75.506,2026-02-06 23:30:42.13,"Feature","051999999991017",1,"SOMERA FRENTE 43 ALDAXKA",1,-2.9224,43.257373,"Point","337",2026-02-06 23:30:00,2,204,12,2026-02-06 23:25:00
"BI-RUI-P002",47.1,2026-02-06 23:31:08.507,"Feature","13697301088804",2,"PLAZA NUEVA (BALCÓN ASOCIACIÓN COMERCIANTES)",1,-2.922321,43.259093,"Point","337",2026-02-06 23:30:00,2,204,12,2026-02-06 23:25:00
"BI-RUI-006",76.074,2026-02-06 23:31:11.337,"Feature","051999999991006",1,"BARRENKALE   7 ",1,-2.925136,43.256697,"Point","335",2026-02-06 23:30:00,0,0,0,2026-02-06 23:25:00
"BI-RUI-P009",63,2026-02-06 23:31:13.32,"Feature","180634089949732",1,"ALAMEDA REKALDE 27",1,-2.934442,43.264067,"Point","312",2026-02-06 23:30:00,0,1949,50,2026-02-06 23:25:00
"BI-RUI-001",66.044,2026-02-06 23:31:16.43,"Feature","051999999991001",1,"RODRIGUEZ ARIAS   71 BIS",1,-2.944465,43.263875,"Point","352",2026-02-06 23:30:00,0,0,0,2026-02-06 23:25:00
"BI-RUI-019",66.219,2026-02-06 23:31:25.523,"Feature","051999999991019",1,"ZUNZUNEGUI JUNTO BOCA METRO",1,-2.948616,43.261587,"Point","391",2026-02-06 23:30:00,0,0,0,2026-02-06 23:25:00
"BI-RUI-P011",65.1,2026-02-06 23:31:26.807,"Feature","193547729768780",1,"CAMPO VOLANTÍN (CON MUGICA)(CÁMARA TRÁFICO)",1,-2.927817,43.267275,"Point","319",2026-02-06 23:30:00,7,196,6,2026-02-06 23:25:00
"BI-RUI-C023",64.7,2026-02-06 23:31:35.15,"Feature","18439918662120",1,"Botica Vieja  (TOYOTA)",1,-2.946357,43.268664,"Point","355",2026-02-06 23:30:00,0,193,19,2026-02-06 23:25:00
"BI-RUI-007",65.82,2026-02-06 23:32:55.147,"Feature","051999999991007",1,"AVENIDA MADARIAGA 3-5",1,-2.944399,43.271091,"Point","280",2026-02-06 23:30:00,0,0,0,2026-02-06 23:25:00
"BI-RUI-C024",58.8,2026-02-06 23:33:38.15,"Feature","9381832634856",2,"Avenida de las Universidades 8",1,-2.934714,43.270142,"Point","342",2026-02-06 23:30:00,0,2,0,2026-02-06 23:25:00
"BI-RUI-C016",64.9,2026-02-06 23:33:44.103,"Feature","110281893366668",1,"Diputación 4",1,-2.93203,43.263171,"Point","312",2026-02-06 23:30:00,0,1949,50,2026-02-06 23:25:00
"BI-RUI-C003",52.3,2026-02-06 23:33:45.823,"Feature","051999999993003",1,"MUELLE RIPA (RIA)",1,-2.924641,43.261251,"Point","337",2026-02-06 23:30:00,2,204,12,2026-02-06 23:25:00
"BI-RUI-C025",45.5,2026-02-06 23:34:04.857,"Feature","172577704980968",1,"Luis Brinas con Pozas 5",1,-2.947089,43.263329,"Point","276",2026-02-06 23:30:00,3,196,4,2026-02-06 23:25:00
"BI-RUI-C018",61.6,2026-02-06 23:34:05.543,"Feature","171837364652940",1,"Ledesma 6",1,-2.927146,43.261879,"Point","337",2026-02-06 23:30:00,2,204,12,2026-02-06 23:25:00
"BI-RUI-C002",73.3,2026-02-06 23:34:27.047,"Feature","051999999993002",1,"URIBITARTE 6",1,-2.927694,43.264163,"Point","341",2026-02-06 23:30:00,15,123,5,2026-02-06 23:25:00
"BI-RUI-025",42,2026-02-06 23:34:45.923,"Feature","051999999991025",2,"PRINCIPE 1",1,-2.924567,43.261992,"Point","337",2026-02-06 23:30:00,2,204,12,2026-02-06 23:25:00
"BI-RUI-C023",62.6,2026-02-06 23:34:50.643,"Feature","18439918662120",1,"Botica Vieja  (TOYOTA)",1,-2.946357,43.268664,"Point","355",2026-02-06 23:30:00,0,193,19,2026-02-06 23:25:00
"BI-RUI-C034",68.2,2026-02-06 23:34:58.223,"Feature","22635509719416",1,"Aretxabaleta 6",1,-2.941152,43.260501,"Point","344",2026-02-06 23:30:00,2,454,17,2026-02-06 23:25:00
